show_name,show_theater,show_type,num_of_attendance,capacity_filled,revenue,percentage_of_poss_profit,num_of_performances
Gypsy '08,St. James,Musical,441949,0.7211111111111111,31430300,0.5624444444444445,332
Hair,Al Hirschfeld,Musical,613014,0.7927536231884058,50570863,0.5981159420289854,519
Hair '11,St. James,Musical,69713,0.515,3453758,0.295,67
Hairspray,Neil Simon,Musical,3418653,0.8958035714285714,252181270,0.7606845238095238,2642
Hamlet '09,Broadhurst,Play,99759,0.8746153846153847,10010252,0.8284615384615384,72
Hamlet 95,Belasco,Play,105388,0.9746666666666667,5094936,0.9606666666666667,91
Hand To God,Booth,Play,173143,0.6693023255813954,12134434,0.4476744186046512,311
Hands On A Hardbody,Brooks Atkinson,Musical,41856,0.74375,1597428,0.2375,28
Harvey,Studio 54,Play,93579,0.9891666666666667,6802810,0.6258333333333334,62
Having Our Say,Booth,Play,155631,0.6708108108108108,4589010,0.43972972972972973,277
Heartbreak House,American Airlines,Play,67971,0.842857142857143,3177764,0.6114285714285714,79
Hedda Gabler 01,Ambassador,Play,83031,0.5705882352941177,3297340,0.38882352941176473,117
Hedda Gabler 09,American Airlines,Play,56067,0.8016666666666667,2742238,0.42916666666666664,74
Hedwig And The Angry Inch,Belasco,Musical,459696,0.8645454545454545,50259435,0.8594805194805195,507
"Hello, Dolly!",Lunt-Fontanne,Musical,9049,0.9,323839,0.53,0
Henry Iv,Vivian Beaumont,Play,77060,0.94,4870242,0.7075,58
High,Booth,Play,18112,0.644,449955,0.192,7
High Fidelity,Imperial,Musical,20022,0.435,1096116,0.28,14
High Society,St. James,Musical,168193,0.600909090909091,7317557,0.7159090909090909,144
Holiday,Circle In The Square,Play,4272,0.62,92284,0.27,0
Holler If Ya Hear Me,Palace,Musical,37161,0.6142857142857143,1209478,0.19571428571428573,38
Hollywood Arms,Cort,Play,47006,0.42153846153846153,2043835,0.34307692307692306,76
Honeymoon In Vegas,Nederlander,Musical,117945,0.649,7609536,0.336,93
Honour,Belasco,Play,41160,0.4881818181818182,1132819,0.3181818181818182,57
Hot Feet,Hilton Theatre,Musical,76824,0.39285714285714285,3766746,0.21714285714285717,97
How To Succeed In Business Without Really Trying,Richard Rodgers,Musical,80162,0.9175,3726626,0.125,64
How To Succeed In Business Without Really Trying '11,Al Hirschfeld,Musical,628957,0.8827692307692309,59740764,0.6967692307692307,473
Hughie 2016,Booth,Play,31993,0.7557142857142857,2023264,0.38,37
I Am My Own Wife,Lyceum,Play,176011,0.6496,8648562,0.4506,360
I'M Not Rappaport '02,Booth,Play,21365,0.39555555555555555,793377,0.22,53
I'M Still Here...Damn It!,Booth,Play,32876,0.6745454545454546,1228086,0.5527272727272727,51
If You Ever Leave Me<85>I'M Going With You,Cort,Play,36852,0.434,1361049,0.319,53
If/Then,Richard Rodgers,Musical,453766,0.8074074074074075,39635141,0.5742592592592592,401
Il Divo - A Musical Affair,Marquis,Special,9241,0.96,1308223,0.99,6
Imaginary Friends,Ethel Barrymore,Play,50516,0.49583333333333335,2857950,0.38166666666666665,76
Impressionism,Schoenfeld,Play,44558,0.5463636363636364,2776558,0.3581818181818182,56
In My Life,Music Box,Musical,32307,0.3854545454545455,1557164,0.21909090909090911,61
In The Heights,Richard Rodgers,Musical,1322889,0.8063815789473684,105302946,0.6685526315789474,1184
In The Next Room Or The Vibrator Play,Lyceum,Play,47282,0.5675,2129999,0.3175,60
Indiscretions,Ethel Barrymore,Play,6549,0.75,280896,0.62,8
Inherit The Wind 07,Lyceum,Play,99852,0.844375,6805286,0.816875,100
